RECORD_ID,YEAR,MONTH,DAY,STORE_ID,SKU_ID,TOTAL_PRICE,BASE_PRICE,UNITS_SOLD
40955,2023,7,11,8063,219009,222.3,222.3,68
51074,2023,8,22,8562,219009,187.3875,187.3875,87
140379,2024,9,4,9845,219029,314.925,314.925,97
29745,2023,5,23,8422,219009,203.0625,203.0625,59
59816,2023,9,26,9490,219009,219.45,219.45,42
21230,2023,4,11,9984,219009,223.725,223.725,99
161025,2024,12,4,9279,219029,295.6875,295.6875,13
23680,2023,4,25,9371,219029,327.0375,327.0375,17
114566,2024,5,22,8222,219029,319.9125,319.9125,71
13469,2023,3,14,8869,219009,194.5125,225.8625,66
30763,2023,5,23,9823,219029,319.2,319.2,120
157087,2024,11,20,8063,219009,183.825,183.825,57
101166,2024,3,20,9876,219029,295.6875,295.6875,8
56919,2023,9,12,9837,219029,310.65,310.65,13
41416,2023,7,11,9112,219009,224.4375,224.4375,143
22019,2023,4,18,9328,219029,312.7875,312.7875,15
140403,2024,9,4,9872,219009,138.225,175.275,239
141027,2024,9,11,8869,219029,320.625,320.625,39
111671,2024,5,8,9112,219009,235.125,235.125,113
131840,2024,7,31,9578,219009,225.8625,225.8625,49
140182,2024,9,4,9713,219029,325.6125,325.6125,26
17825,2023,3,28,9880,219009,214.4625,214.4625,53
31744,2023,5,30,9250,219009,203.775,203.775,91
8152,2023,2,14,9961,219009,117.5625,227.2875,1197
116721,2024,5,29,9221,219029,312.7875,312.7875,20
18651,2023,4,4,9250,219009,218.025,218.025,67
74084,2023,11,28,9147,219009,192.375,234.4125,66
43793,2023,7,18,9770,219009,206.625,206.625,32
137933,2024,8,28,9164,219029,327.0375,327.0375,24
91060,2024,2,6,9632,219029,295.6875,295.6875,15
108008,2024,4,24,8222,219009,237.975,237.975,114
91685,2024,2,13,8222,219009,217.3125,217.3125,124
116891,2024,5,29,9430,219029,327.0375,327.0375,37
101894,2024,3,27,9132,219029,295.6875,295.6875,16
24955,2023,5,2,8991,219029,295.6875,295.6875,31
125740,2024,7,3,9880,219029,177.4125,312.7875,139
76596,2023,12,5,9876,219029,295.6875,295.6875,55
152529,2024,10,30,8991,219009,178.125,178.125,115
173956,2025,1,29,9147,219009,218.7375,218.7375,96
109036,2024,4,24,9680,219009,194.5125,194.5125,64
164262,2024,12,18,9250,219029,300.675,300.675,56
159250,2024,11,27,9164,219009,210.9,210.9,85
69328,2023,11,7,9279,219009,227.2875,227.2875,51
74508,2023,11,28,9490,219029,312.7875,312.7875,20
118527,2024,6,5,9430,219009,193.8,220.875,33
99745,2024,3,20,8091,219029,327.0375,327.0375,12
29048,2023,5,16,9745,219029,327.0375,327.0375,39
19850,2023,4,11,8319,219029,312.7875,312.7875,43
147982,2024,10,9,9442,219009,222.3,222.3,36
169048,2025,1,8,9147,219009,217.3125,217.3125,73
131954,2024,7,31,9680,219029,295.6875,295.6875,15
160038,2024,11,27,9809,219009,210.9,210.9,59
72214,2023,11,21,8438,219009,175.9875,220.875,757
127562,2024,7,17,8094,219029,307.0875,307.0875,34
74957,2023,11,28,9876,219029,295.6875,295.6875,30
112160,2024,5,8,9498,219029,312.7875,312.7875,36
71192,2023,11,14,9479,219029,312.7875,312.7875,38
85519,2024,1,16,9112,219029,321.3375,321.3375,56
82574,2024,1,2,9425,219029,295.6875,295.6875,20
112611,2024,5,8,9879,219009,198.7875,198.7875,31
172255,2025,1,22,9092,219009,180.975,180.975,103
19286,2023,4,4,9813,219009,200.2125,200.2125,24
145297,2024,9,25,9845,219029,327.0375,314.925,54
9352,2023,2,21,9632,219029,190.2375,295.6875,38
156629,2024,11,13,9745,219029,327.0375,327.0375,60
100949,2024,3,20,9731,219009,228,228,8
3285,2023,1,31,8091,219009,227.2875,227.2875,12
56050,2023,9,12,9043,219009,228,228,60
43251,2023,7,18,9279,219029,295.6875,295.6875,22
53020,2023,8,29,9273,219009,179.55,179.55,56
131396,2024,7,31,9178,219009,194.5125,194.5125,36
172113,2025,1,22,8555,219029,295.6875,295.6875,10
17439,2023,3,28,9611,219009,220.1625,220.1625,100
19593,2023,4,4,9984,219029,312.7875,312.7875,24
104383,2024,4,3,9872,219029,295.6875,295.6875,27
100480,2024,3,20,9281,219029,312.7875,312.7875,8
88651,2024,1,30,8562,219029,327.0375,327.0375,48
85085,2024,1,16,8023,219029,327.0375,327.0375,88
115785,2024,5,22,9837,219009,216.6,241.5375,36
143893,2024,9,25,8091,219009,222.3,222.3,14
110904,2024,5,1,9845,219009,239.4,239.4,120
171062,2025,1,15,9479,219009,195.225,195.225,84
86843,2024,1,23,8317,219009,198.7875,198.7875,164
10616,2023,2,28,9371,219009,117.5625,227.2875,419
129241,2024,7,24,8023,219029,327.0375,327.0375,92
150436,2024,10,16,9984,219029,312.7875,312.7875,28
63183,2023,10,10,9613,219009,201.6375,228,103
124021,2024,6,26,9845,219009,211.6125,211.6125,124
145809,2024,10,2,8398,219029,327.0375,327.0375,42
9239,2023,2,21,9532,219029,179.55,312.7875,103
140661,2024,9,11,8094,219009,145.35,191.6625,148
159759,2024,11,27,9611,219029,327.0375,327.0375,68
153458,2024,10,30,9837,219009,178.125,216.6,83
37195,2023,6,20,9731,219009,222.3,222.3,69
162033,2024,12,11,8023,219029,327.0375,327.0375,94
167619,2025,1,1,9328,219009,131.8125,195.225,76
